event_id,soft_id,soft_peak,class_solexs,class_goes,soft_peak_counts,soft_sig,hard_id,hard_peak,hard_peak_counts,hard_sig,coincidence,neupert_lead_s,nonthermal_peak_counts,hardness_ratio,confidence
EVT-0039,SLX-0039,2024-09-13 04:59:54,M2.4,M2.4,1378.0,8.758434875642404,HLS-0105,2024-09-13 04:58:50,2862.0,276.2,True,,16.0,0.0055058499655884375,DUAL-CONFIRMED
EVT-0040,SLX-0040,2024-09-13 06:54:08,M5.8,M5.0,3975.0,143.71987846209748,HLS-0111,2024-09-13 06:49:10,10623.0,1652.6307483052294,True,,17.0,0.0019782393669634025,DUAL-CONFIRMED
EVT-0041,SLX-0041,2024-09-13 08:35:40,M2.9,—,1764.0,28.154628659542585,HLS-0112,2024-09-13 08:36:00,981.0,158.53411830475693,True,,5.0,0.029503105590062112,DUAL-CONFIRMED
EVT-0042,SLX-0042,2024-09-13 12:32:26,C9.5,C9.4,471.0,15.560370652512791,HLS-0119,2024-09-13 12:31:10,161.0,60.42074698865173,True,,8.0,0.0,DUAL-CONFIRMED
EVT-0043,SLX-0043,2024-09-13 14:33:16,C6.3,C6.0,293.0,7.966736401368434,HLS-0121,2024-09-13 14:31:20,334.0,123.5943826740173,True,,7.0,0.012578616352201259,DUAL-CONFIRMED
EVT-0044,SLX-0044,2024-09-13 15:05:46,M1.5,M1.3,794.0,35.24464164613913,HLS-0123,2024-09-13 15:02:50,2100.0,332.24080806766426,True,,8.0,0.001310615989515072,DUAL-CONFIRMED
EVT-0045,SLX-0045,2024-09-13 17:32:10,C6.4,C6.5,297.0,9.130118862478849,HLS-0127,2024-09-13 17:24:20,232.0,85.04200642707612,True,,7.0,0.05263157894736842,DUAL-CONFIRMED
EVT-0046,SLX-0046,2024-09-13 17:56:24,M1.6,M1.4,868.0,36.0255329258438,HLS-0129,2024-09-13 17:54:10,1576.0,213.54271281427148,True,,6.0,0.004429678848283499,DUAL-CONFIRMED
EVT-0047,SLX-0047,2024-09-13 19:03:24,M1.0,C9.5,516.0,20.459139531236705,HLS-0130,2024-09-13 18:57:30,763.0,216.79502608070447,True,,6.0,0.004016064257028112,DUAL-CONFIRMED
EVT-0048,SLX-0048,2024-09-13 20:09:52,C8.3,C7.8,405.0,11.29013827294521,HLS-0132,2024-09-13 20:19:00,263.0,21.57882516181635,True,,8.0,0.11627906976744186,DUAL-CONFIRMED
EVT-0049,SLX-0049,2024-09-13 20:49:09,M1.2,M1.1,627.0,14.546889268214818,HLS-0134,2024-09-13 20:46:00,1285.0,195.55430870814632,True,,6.0,0.004123711340206186,DUAL-CONFIRMED
EVT-0050,SLX-0050,2024-09-13 21:28:48,C4.7,C4.8,207.0,5.3535192226447545,HLS-0135,2024-09-13 21:27:20,286.0,98.2878425849301,True,,8.0,0.008333333333333333,DUAL-CONFIRMED
EVT-0051,SLX-0051,2024-09-13 23:30:11,C6.3,C6.2,291.0,18.73764284159721,HLS-0139,2024-09-13 23:21:00,418.0,136.33333333333334,True,,8.0,0.037037037037037035,DUAL-CONFIRMED
EVT-0052,SLX-0052,2024-09-14 00:57:25,C4.6,C4.5,202.0,10.628776453049,HLS-0141,2024-09-14 00:53:40,213.0,77.8606814399008,True,,6.0,0.07272727272727272,DUAL-CONFIRMED
EVT-0053,SLX-0053,2024-09-14 02:42:33,C3.4,C3.9,141.0,5.01699620251574,HLS-0145,2024-09-14 02:41:20,50.0,16.25247233939677,True,,8.0,0.11764705882352941,DUAL-CONFIRMED
EVT-0054,SLX-0054,2024-09-14 04:02:10,C9.8,C9.2,492.0,9.212085353289524,,,,,False,,7.0,0.05405405405405406,SOFT-ONLY
EVT-0055,SLX-0055,2024-09-14 07:41:12,M3.3,M3.0,2039.0,124.92380952380952,HLS-0150,2024-09-14 07:37:50,4091.0,1360.6666666666667,True,,7.0,0.0007791195948578107,DUAL-CONFIRMED
EVT-0056,SLX-0056,2024-09-14 14:31:40,C5.7,C5.5,261.0,17.465537495307725,,,,,False,,6.0,0.125,SOFT-ONLY
EVT-0057,SLX-0057,2024-09-14 15:29:37,X2.4,X4.4,20452.0,1635.6113942249603,HLS-0156,2024-09-14 15:26:10,240848.0,65560.01619185983,True,477.0,1304.0,0.011564911256635231,DUAL-CONFIRMED
EVT-0058,SLX-0058,2024-09-14 23:51:24,C2.8,C3.0,113.0,12.835792251513514,HLS-0158,2024-09-14 23:50:50,270.0,118.51160280748884,True,,14.0,0.006756756756756757,DUAL-CONFIRMED
EVT-0059,SLX-0059,2024-09-15 05:24:22,C2.0,C2.2,76.0,5.112764264362193,HLS-0162,2024-09-15 05:23:50,37.0,12.655697004379755,True,,8.0,0.11764705882352941,DUAL-CONFIRMED
EVT-0060,SLX-0060,2024-09-15 07:55:34,C2.9,C3.0,115.0,9.10602910614014,HLS-0163,2024-09-15 07:52:50,102.0,35.906624935876586,True,,9.0,0.0,DUAL-CONFIRMED
EVT-0061,SLX-0061,2024-09-15 11:13:09,C3.5,C3.6,148.0,10.231284959338778,,,,,False,,7.0,0.11764705882352941,SOFT-ONLY
EVT-0062,SLX-0062,2024-09-15 15:27:41,C5.4,C4.8,242.0,29.62370845394112,HLS-0167,2024-09-15 15:27:30,242.0,88.82165115716839,True,,8.0,0.014423076923076924,DUAL-CONFIRMED
