time,sharp_usflux_max,sharp_usflux_sum,sharp_totusjh_max,sharp_totusjh_sum,sharp_totpot_max,sharp_totpot_sum,sharp_meanpot_max,sharp_meanpot_sum,sharp_savncpp_max,sharp_savncpp_sum,sharp_meanshr_max,sharp_meanshr_sum,sharp_shrgt45_max,sharp_shrgt45_sum,sharp_r_value_max,sharp_r_value_sum,sharp_area_acr_max,sharp_area_acr_sum,sharp_n_ar
2024-06-09 17:59:23,8.669571e+22,1.8182614282000002e+23,4740.825,9209.969,6.963063e+23,1.6006314733e+24,7832.3,53416.455,26190750000000.0,53986528940000.0,35.963,444.06,29.494,154.225,5.039,22.088,3214.435303,6659.367358,9
2024-06-09 23:59:23,8.135976e+22,1.5795801256e+23,4619.813,7890.52,6.784982e+23,1.2438342519e+24,7398.801,45126.6361,21744820000000.0,45420951020000.0,35.996,434.569,28.808,132.39,4.74,20.637,3260.41748,6165.219029,9
2024-06-10 05:59:23,7.623873e+22,1.3859664026000002e+23,4691.152,7424.294,6.703671e+23,1.10829599244e+24,7660.992,41842.5461,9116315000000.0,23332719036900.0,35.045,367.686,27.213,106.007,4.861,18.531,3416.641846,5517.476624999999,8
2024-06-10 11:59:23,7.292521e+22,1.213026302e+23,4741.469,6968.451,6.753807e+23,1.0102823797300001e+24,6983.431,35795.258,5063416000000.0,19283961040000.0,34.023,379.865,26.027,110.389,4.923,21.256,3699.095947,5199.272836,9
2024-06-10 17:59:23,7.28785e+22,1.193419674e+23,4568.489,6887.731,6.392275e+23,9.6592691251e+23,6855.862,39117.5325,12920510000000.0,25017972720000.0,34.355,417.457,25.901,111.863,4.458,24.495,3831.977783,5243.551584,9
2024-06-10 23:59:23,6.546793e+22,1.0781715259e+23,4425.079,6462.915999999999,6.267727e+23,9.307180802999998e+23,6442.064,40296.1111,12755080000000.0,21719202201000.0,34.394,423.905,25.039,102.171,4.758,28.159,3673.186035,4948.264856,9
2024-06-11 05:59:23,5.77841e+22,9.570991326e+22,4080.25,5998.173,5.916663e+23,8.579212888e+23,6833.515,40614.67,10877100000000.0,21784507230000.0,34.141,376.69,24.924,99.71799999999999,5.122,26.924,3804.938721,5062.82599,9
2024-06-11 11:59:23,5.577335e+22,9.021461618e+22,4041.609,5906.505,5.700639e+23,8.1517482095e+23,7002.51,41123.557,5910467000000.0,16146819511400.0,33.944,416.25,25.846,121.217,4.326,24.134,3973.572754,5287.889811,10
2024-06-11 17:59:23,5.263056e+22,9.477041440000001e+22,3771.86,5805.124,5.379137e+23,8.264233445000001e+23,6416.362,41117.322,13057780000000.0,24374765120000.0,32.455,441.11199999999997,22.712,130.166,4.629,25.361,3943.554932,5507.65838,9
2024-06-11 23:59:23,4.670641e+22,1.0380088685e+23,3569.646,6370.103,5.113935e+23,9.106050601e+23,5425.937,42463.231,12700470000000.0,25677231532000.0,32.369,451.94100000000003,20.698,121.712,4.719,18.786,3689.749268,5610.279838,8
